Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,0.0,6.122,8.333,10.638,13.043,10.638,15.556,15.556,18.182,15.556,15.556
YPV,YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,1.916,4.396,5.472,11.484,12.951,14.261,14.31,12.664,14.804,15.052,14.507
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,0.467,2.381,3.365,8.586,6.965,13.158,16.216,14.973,16.216,14.362,8.586
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,3.039,3.635,1.6,14.207,5.782,8.875,16.146,8.341,9.908,7.881,2.608
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,0.272,0.556,1.038,1.176,1.589,2.408,2.551,2.704,3.096,4.262,4.912
ZDZ,ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,6.555,11.168,15.456,20.489,30.644,31.515,40.726,46.128,65.523,65.649,73.531
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,2.817,2.817,3.546,8.955,8.955,10.606,8.955,5.797,8.148,9.774,10.606
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,0.422,0.847,1.276,1.621,2.057,2.496,2.85,3.296,3.746,4.108,4.565
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),7.266,18.612,25.144,28.555,38.969,45.442,54.724,65.712,84.602,84.838,90.351
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),6.366,18.256,19.307,25.096,35.976,37.562,46.134,52.189,70.671,66.155,69.778
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),7.137,18.393,22.28,26.749,39.639,42.862,52.618,60.407,77.616,76.991,81.053
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,2.083,2.083,2.083,2.083,2.083,2.083,4.255,4.255,4.255
ZBD,ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON,2.793,3.893,6.295,8.567,12.361,13.68,17.518,20.312,29.009,29.32,32.909
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,1.925,1.925,1.243,2.616,3.016,4.851,3.216,1.729,4.851,5.268,3.116
ZSG,ZİRAAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,4.146,6.341,8.531,11.272,14.577,16.591,18.463,20.79,28.915,28.55,30.626
TZD,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6.41,14.799,18.741,23.328,33.226,32.8,40.44,46.643,62.745,60.232,63.065
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,0.345,0.692,1.041,1.463,1.747,2.175,2.535,2.97,3.336,3.704,4.074
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),0.754,1.578,2.191,3.731,4.119,5.654,5.574,5.032,2.886,3.391,3.746
ZPE,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.631,15.351,15.954,19.864,30.448,31.006,37.601,40.062,53.139,52.088,53.32
ZP8,ZİRAAT PORTFÖY KEHRİBAR KATILIM SERBEST (TL) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,0.532,0.926,1.322,1.649,2.125,2.532,2.941,3.241,3.656,4.037,4.458
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,3.946,9.421,14.076,17.717,17.436,21.2,24.054,26.068,31.579,28.821,22.917
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,0.794,2.383,3.065,2.827,3.486,4.858,5.146,5.359,5.604,6.35,6.955
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,-0.108,-1.263,-2.84,-2.14,-2.894,-3.87,-1.235,-2.641,-0.051,-0.449,-1.976
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,2.027,1.031,2.873,3.964,5.257,6.339,7.692,9.336,12.508,13.398,15.868
